Initial_MSE,Initial_RMSE,Initial_MAE,Initial_R2 Score,Initial_Model,Initial_Type,Tuned_MSE,Tuned_RMSE,Tuned_MAE,Tuned_R2 Score,Tuned_Model,Tuned_Type
0.37724345728015296,0.6142014793861644,0.4194272253627643,0.6683748419837707,LinearRegression,Initial,0.3718731941044343,0.6098140651907221,0.4248260424646195,0.6730957041746659,RidgeRegression,Tuned
0.3718731941044343,0.6098140651907221,0.4248260424646195,0.6730957041746659,RidgeRegression,Initial,0.5036413009449809,0.7096768989793742,0.5276107155357541,0.5572617025261114,LassoRegression,Tuned
1.1380581521755937,1.0667980840700801,0.8777626900778507,-0.00043806529589041077,LassoRegression,Initial,0.4069422577698463,0.6379202597267517,0.45248704887022495,0.6422673795076941,ElasticNet,Tuned
1.032739220421732,1.0162377775017675,0.8322014691265883,0.09214513717178652,ElasticNet,Initial,1.155061516355772,1.0747378826280258,0.610554262658805,-0.015385291614176566,PolynomialRegression,Tuned
0.9282529471599521,0.9634588455974402,0.6945680562583705,0.18399637067172836,PolynomialRegression,Initial,0.38043710053200364,0.6167958337505237,0.4226355532981589,0.6655673911781868,DecisionTree,Tuned
0.4078214987802888,0.6386090343710217,0.44405775597334823,0.6414944610292013,DecisionTree,Initial,0.3512566444792726,0.5926690851388088,0.387272880485291,0.6912191902027254,RandomForestRegressor,Tuned
0.33815426041540075,0.5815103270066669,0.37099782635248685,0.7027371638129185,RandomForestRegressor,Initial,0.36410916561349516,0.6034145884990644,0.39655450056802494,0.6799208647585329,GradientBoostingRegressor,Tuned
0.3208625536805834,0.5664473088298535,0.3783091337105676,0.7179378647598551,GradientBoostingRegressor,Initial,0.42746311305214135,0.6538066327685437,0.4384852051055104,0.62422801595005,SupportVectorMachine,Tuned
0.42746311305214135,0.6538066327685437,0.4384852051055104,0.62422801595005,SupportVectorMachine,Initial,0.4081162906329443,0.6388398004452637,0.4162430434192891,0.641235316986191,KNearestNeighbors,Tuned
0.47977905528684395,0.6926608515621797,0.46420547263464773,0.5782383976398058,KNearestNeighbors,Initial,0.336384912268851,0.579986993189374,0.3902371359860675,0.7042925529054576,XGBoost,Tuned
0.40095270139084666,0.6332082606779911,0.4154971880167388,0.6475326466509697,XGBoost,Initial,0.36490547686702113,0.6040740657129895,0.40469443734355665,0.6792208477266019,LightGBM,Tuned
0.354890455481896,0.5957268295803841,0.4087284444232138,0.6880247990882065,LightGBM,Initial,0.4550781530551204,0.6745948065728941,0.44806120152152734,0.5999523344826004,CatBoost,Tuned
0.3648949262679448,0.6040653327811031,0.3881030074148724,0.6792301224907318,CatBoost,Initial,,,,,,
